AAPL.Close,ABBV.Close,ABT.Close,ACN.Close,ADBE.Close,AIG.Close,ALL.Close,AMGN.Close,AMT.Close,AMZN.Close,AXP.Close,BA.Close,BAC.Close,BIIB.Close,BK.Close,BKNG.Close,BLK.Close,BMY.Close,BRK.A.Close,C.Close,CAT.Close,CHTR.Close,CL.Close,CMCSA.Close,COF.Close,COP.Close,COST.Close,CRM.Close,CSCO.Close,CVS.Close,CVX.Close,DD.Close,DHR.Close,DIS.Close,DOW.Close,DUK.Close,EMR.Close,EXC.Close,F.Close,FB.Close,FDX.Close,GD.Close,GE.Close,GILD.Close,GM.Close,GOOG.Close,GOOGL.Close,GS.Close,HD.Close,HON.Close,IBM.Close,INTC.Close,JNJ.Close,JPM.Close,KHC.Close,KMI.Close,KO.Close,LLY.Close,LMT.Close,LOW.Close,MA.Close,MCD.Close,MDLZ.Close,MDT.Close,MET.Close,MMM.Close,MO.Close,MRK.Close,MS.Close,MSFT.Close,NEE.Close,NFLX.Close,NKE.Close,NVDA.Close,ORCL.Close,OXY.Close,PEP.Close,PFE.Close,PG.Close,PM.Close,PYPL.Close,QCOM.Close,RTX.Close,SBUX.Close,SLB.Close,SO.Close,SPG.Close,T.Close,TGT.Close,TMO.Close,TXN.Close,UNH.Close,UNP.Close,UPS.Close,USB.Close,V.Close,VZ.Close,WBA.Close,WFC.Close,WMT.Close,XOM.Close
183.089996,79.82,75.769997,178.539993,275.450012,52.43,95.940002,168.389999,198.25,1858.969971,119.839996,352.790009,28.4,230.759995,45.970001,1752.22998,438.089996,46.310001,305362,64.959999,122.43,377.290009,71.699997,42.779999,91.379997,62.450001,248.899994,155.979996,56.009998,53,120.839996,65.671959,130.320007,133.910004,50.080002,86.959999,63.900002,48.93,10.28,182.720001,168.210007,169.289993,9.88,65.860001,36.970001,1138.849976,1144.660034,197.240005,190.949997,168.619995,135.119995,43.560001,138.419998,111.349998,31.790001,20.290001,48.849998,116.230003,342.01001,109.199997,253.490005,198.990005,52.290001,87.57,47.52,166.25,52.330002,78.879997,43.869999,126.220001,199.350006,348.109985,82.849998,151.75,53.66,53.459999,129.990005,41.59,107.330002,86.230003,112.150002,76.620003,84.002518,76.660004,39.119999,54.080002,170.559998,32.189999,72.080002,262.910004,104.730003,245.990005,174.740005,98.519997,51.720001,163.470001,59.009998,52.259998,45.450001,101.519997,75.900002
186.600006,80.879997,76.029999,179.570007,278.070007,52.5,96.910004,169.690002,198.169998,1857.52002,120.550003,358.75,28.690001,232.919998,46.209999,1772.189941,441.660004,47.43,306225,66.080002,124.949997,379.209991,71.529999,43.290001,92.199997,63.619999,249.929993,155.779999,56.52,53.52,121.339996,67.703705,130.210007,134.089996,50.630001,87.080002,65.330002,48.93,10.24,184.820007,167.990005,171.449997,9.96,66.519997,37.130001,1149.630005,1154.439941,199.110001,191.449997,169.600006,136.449997,44.459999,138.119995,111.730003,31.98,20.34,48.599998,116.580002,343.950012,111.099998,255.360001,199.839996,52.18,87.769997,48.130001,167.300003,51.869999,79.5,44.389999,126.900002,198.899994,354.269989,83.639999,155.059998,54.169998,53.509998,129.050003,41.669998,106.370003,85.760002,112.43,77.75,85.6073,77.529999,39.5,53.970001,172.800003,32.41,71.959999,265.359985,107,249.940002,175.039993,99.410004,51.900002,163.860001,59.5,52.759998,46.330002,101.120003,76.25
182.779999,81.589996,76.260002,180.389999,281.820007,52.560001,97.089996,171.300003,200.669998,1859.680054,120.010002,352.779999,28.49,235.039993,46.16,1745.02002,439.140015,47.740002,304300,64.660004,123.559998,378.079987,71.529999,43.299999,91.260002,63.049999,249.509995,157.639999,55.689999,53.709999,120.57,67.132278,131.740005,133.850006,50.209999,87.809998,64.669998,49.27,9.97,185.320007,162,169.279999,9.9,66.5,35.549999,1151.420044,1155.849976,195.520004,188.910004,169.309998,136.350006,44,138.759995,110.82,31.879999,20.34,49.650002,117.980003,341.299988,97.940002,256.899994,199.960007,52.09,88.760002,48.130001,169.740005,52.830002,80.980003,43.490002,127.669998,201.929993,359.730011,83.199997,152.199997,54.200001,52.779999,130.070007,41.990002,106.720001,85.489998,112.470001,69.309998,85.217117,77.25,38.34,54.110001,171.679993,32.279999,77.559998,271.660004,106.779999,249.339996,174.460007,97.5,51.849998,164.240005,59.25,52.939999,46.099998,102.230003,75.559998
179.660004,81.150002,75.629997,178.270004,274.25,52.200001,95.980003,172.110001,202.919998,1815.47998,118.43,350.549988,27.76,229.110001,45.240002,1716.930054,433.890015,47.299999,304115,63.900002,122.260002,375.51001,71.75,42.73,89.25,59.5,248.529999,153.710007,54.189999,52.790001,117.870003,65.481483,131.630005,132.729996,48.709999,88.900002,62.68,49.66,9.85,180.869995,160.589996,163.580002,9.56,67.169998,35.130001,1140.77002,1145.339966,191.970001,192,166.440002,132.389999,44.529999,139.789993,108.639999,31.450001,19.959999,49.849998,116.809998,340.070007,94.800003,249.729996,198.970001,52.040001,91.639999,47.25,165.869995,52.810001,81.019997,42.709999,126.18,203.529999,352.209991,82.639999,147.320007,53.080002,52.91,129.970001,41.919998,106.760002,86.239998,109.900002,68.260002,82.095657,76.410004,37.490002,54.34,171.479996,32.139999,79.400002,271.019989,105.830002,246.5,172.649994,96.169998,51.169998,161.509995,58.869999,51.610001,45.560001,101.860001,73.790001
178.970001,80.059998,76.980003,178.809998,274.769989,52.759998,96.370003,171.279999,203,1823.280029,119.510002,354.899994,28.18,227.059998,45.16,1708.47998,435.76001,46.810001,303000,64.389999,122.900002,375,71.199997,42.669998,90.779999,59.880001,247.300003,154.509995,54.369999,53.07,118.709999,65.777779,132.039993,132.789993,49.200001,88.809998,62.529999,49.560001,9.83,181.059998,159.929993,164.029999,9.45,66.889999,35.119999,1133.469971,1138.609985,193,193.589996,166.679993,132.279999,44.57,138.850006,109.709999,31.110001,20.059999,49.610001,116.790001,338.779999,95.370003,251.479996,197.770004,52.130001,93.029999,47.830002,166.089996,52.400002,81.169998,42.959999,126.239998,203.369995,354.390015,82.160004,145.149994,52.77,53.470001,129.5,41.950001,106.690002,84.639999,109.849998,66.209999,82.69352,76.150002,37,54.349998,171.330002,32.27,81.57,271.799988,105.059998,247.630005,172.169998,95.849998,51.330002,162.639999,59.32,51.77,46.169998,102.669998,74.099998
178.229996,78.029999,75.709999,178.389999,278.25,52.07,95.089996,168.850006,202.550003,1836.430054,118.169998,354.880005,27.9,225.539993,44.330002,1685.800049,429.309998,45.860001,301050,63.790001,121.589996,377,70.110001,42.470001,88.75,60.049999,246.309998,155.190002,53.93,52.700001,118.309998,65.121696,130.130005,132.619995,48.560001,87.120003,61.200001,48.779999,9.78,184.309998,158.449997,163.660004,9.36,63.970001,34.849998,1134.150024,1139.560059,189.440002,191.550003,165.259995,130.460007,43.57,137.070007,108.519997,29.059999,19.879999,49.099998,115.760002,337.890015,91.870003,253.429993,196.669998,50.970001,91.309998,47.18,163.350006,49.869999,80.260002,42.169998,126.160004,201.169998,355.059998,81.199997,143.330002,51.75,52.279999,127.629997,41.900002,104.459999,81.550003,111.790001,65.370003,81.762115,75.699997,36.5,53.560001,168.089996,31.93,80.769997,266.380005,103.209999,242.059998,169.809998,94.07,50.669998,163.710007,58.73,51.720001,45.59,102.419998,72.610001
177.380005,78.059998,75.669998,177.610001,273.380005,51.619999,96.230003,169.179993,201.130005,1819.189941,117.010002,348.799988,27.75,223.399994,44.060001,1685.920044,427.929993,45.380001,299860,63.709999,121.480003,375.369995,69.970001,41.919998,89.440002,60.139999,240.690002,152.889999,53.18,52.52,116.769997,65.798943,130.279999,131.570007,48.709999,85.809998,60.990002,48.25,9.71,182.190002,159.570007,162.309998,9.37,63.369999,34.790001,1116.459961,1119.939941,188.050003,189.990005,164.369995,129.690002,44.23,131.330002,108.220001,28.68,19.91,48.610001,115.489998,339.339996,93.230003,253.559998,196.020004,51.16,91.519997,47.34,161.399994,50.189999,79.360001,42.189999,124.940002,198.720001,349.190002,78.870003,140.339996,51.689999,52,128.169998,41.720001,104.190002,81.139999,110.080002,65.760002,81.47892,75.279999,36.18,52.889999,163.960007,31.91,79.639999,264.76001,104.150002,242.399994,169,94.769997,50.599998,162.729996,58.18,51.130001,45.48,102.120003,72.160004
178.300003,77.610001,76.519997,178.820007,274.51001,51.939999,95.889999,169.039993,204.690002,1816.319946,116.739998,349.869995,27.16,223.779999,43.25,1673.060059,426.589996,45.880001,300877,63.610001,121.839996,379.220001,70.849998,41.740002,88.349998,58.950001,241.539993,155.660004,53.57,52.75,115.379997,65.968254,132.440002,132.199997,48.470001,85.529999,61.200001,48.040001,9.74,183.009995,158.009995,162.229996,9.47,63.34,34.82,1117.949951,1121.410034,187.369995,191.080002,165.449997,129.570007,44.73,132.110001,107.059998,27.4,20.059999,49.25,115.900002,341.959991,93.879997,254.190002,199.240005,51.25,92.580002,47.349998,160.580002,50.209999,79.68,41.830002,125.730003,198.940002,351.850006,79.260002,139.110001,51.720001,51.91,128.610001,41.900002,105.330002,79.599998,111.410004,66.589996,80.805534,76.169998,35.18,53,163.050003,31.860001,80.389999,267.980011,105.440002,243.5,169.479996,95.75,50.400002,162.759995,56.830002,50.549999,45.049999,102.190002,71.970001
175.070007,76.709999,76.129997,178.070007,270.899994,51.07,95.510002,166.699997,208.770004,1775.069946,114.709999,341.609985,26.6,219.289993,42.689999,1656.219971,415.559998,45.369999,297060,62.150002,119.809998,376.799988,69.620003,41,85.870003,58.959999,239.580002,151.410004,52.029999,52.369999,113.849998,64.59259,132.009995,132.039993,46.759998,85.610001,60.240002,48.080002,9.52,177.470001,154.279999,160.820007,9.44,62.25,33.34,1103.630005,1106.5,182.490005,189.850006,164.309998,126.989998,44.040001,131.149994,105.959999,27.65,19.950001,49.130001,115.940002,338.540009,93.279999,251.490005,198.270004,50.849998,92.580002,46.209999,159.75,49.060001,79.209999,40.689999,123.68,198.210007,343.279999,77.139999,135.460007,50.599998,49.77,128,41.52,102.910004,77.129997,109.75,66.82,79.483955,76.059998,34.689999,53.5,162.089996,30.58,80.449997,266.980011,104.309998,241.800003,166.779999,92.919998,50.200001,161.330002,54.349998,49.34,44.369999,101.440002,70.769997
173.300003,75.699997,75.709999,175.160004,259.029999,52.709999,96.769997,172.360001,209.289993,1692.689941,114.620003,338.890015,26.68,223.369995,43.049999,1650.459961,419.899994,46.119999,299742,62.610001,120.650002,377.649994,70.690002,40.959999,87.080002,59.419998,241.070007,145.100006,51.779999,53.389999,115.989998,76.099998,131.919998,132.470001,47.959999,86.019997,60.580002,48.52,9.61,164.149994,152.339996,163.149994,9.53,63.630001,33.700001,1036.22998,1038.73999,183.190002,189.570007,166.470001,128.270004,43.459999,131.440002,106.459999,28.42,20.139999,49.98,116.769997,344.570007,93.839996,242.259995,198.779999,51.560001,93.330002,47.060001,160.039993,50.099998,80.260002,40.73,119.839996,199.580002,336.630005,77.959999,133.779999,50.240002,49.32,128.979996,41.919998,103.800003,78.610001,105.519997,66.660004,79.836372,76.220001,35.490002,54.16,161.669998,31.09,82.949997,265.279999,105.169998,236.559998,166.339996,94.129997,50.73,158.600006,56.380001,49.91,44.52,101.959999,71.879997
