t,r20,rs
1961/11/1,6.34,5.389
1961/12/1,6.41,5.403
1962/1/1,6.35,5.242
1962/2/1,6.26,5.531
1962/3/1,6.25,4.405
1962/4/1,6.24,4.052
1962/5/1,6.25,3.816
1962/6/1,6.24,3.921
1962/7/1,5.98,3.887
1962/8/1,5.77,3.752
1962/9/1,5.27,3.635
1962/10/1,5.37,3.858
1962/11/1,5.42,3.689
1962/12/1,5.36,3.717
1963/1/1,5.54,3.491
1963/2/1,5.74,3.426
1963/3/1,5.69,3.756
1963/4/1,5.5,3.709
1963/5/1,5.31,3.635
1963/6/1,5.28,3.702
1963/7/1,5.2,3.761
1963/8/1,5.22,3.723
1963/9/1,5.21,3.674
1963/10/1,5.26,3.745
1963/11/1,5.51,3.739
1963/12/1,5.63,3.721
1964/1/1,5.64,3.758
1964/2/1,5.85,4.307
1964/3/1,5.76,4.302
1964/4/1,5.93,4.302
1964/5/1,5.9,4.384
1964/6/1,5.97,4.464
1964/7/1,6.02,4.654
1964/8/1,6,4.656
1964/9/1,6,4.703
1964/10/1,6.06,4.698
1964/11/1,6.23,6.63
1964/12/1,6.41,6.627
1965/1/1,6.41,6.543
1965/2/1,6.43,6.442
1965/3/1,6.53,6.549
1965/4/1,6.61,6.375
1965/5/1,6.76,6.364
1965/6/1,6.78,5.542
1965/7/1,6.8,5.63
1965/8/1,6.65,5.559
1965/9/1,6.35,5.559
1965/10/1,6.37,5.44
1965/11/1,6.4,5.395
1965/12/1,6.59,5.521
1966/1/1,6.52,5.483
1966/2/1,6.61,5.62
1966/3/1,6.77,5.604
1966/4/1,6.78,5.638
1966/5/1,6.82,5.659
1966/6/1,7.03,5.728
1966/7/1,7.29,6.679
1966/8/1,7.41,6.726
1966/9/1,7.29,6.747
1966/10/1,6.96,6.513
1966/11/1,6.97,6.738
1966/12/1,6.78,6.527
1967/1/1,6.58,6.08
1967/2/1,6.49,6.035
1967/3/1,6.5,5.495
1967/4/1,6.46,5.412
1967/5/1,6.65,5.248
1967/6/1,6.86,5.275
1967/7/1,6.92,5.345
1967/8/1,6.9,5.291
1967/9/1,6.98,5.475
1967/10/1,7,5.726
1967/11/1,7.22,7.553
1967/12/1,7.2,7.484
1968/1/1,7.28,7.52
1968/2/1,7.28,7.374
1968/3/1,7.29,7.108
1968/4/1,7.34,7.08
1968/5/1,7.5,7.241
1968/6/1,7.87,7.242
1968/7/1,7.63,7.059
1968/8/1,7.63,6.945
1968/9/1,7.64,6.577
1968/10/1,7.7,6.493
1968/11/1,7.93,6.789
1968/12/1,8.17,6.777
1969/1/1,8.47,6.728
1969/2/1,8.61,7.711
1969/3/1,8.81,7.782
1969/4/1,8.9,7.798
1969/5/1,9.46,7.85
1969/6/1,9.31,7.88
1969/7/1,9.19,7.83
1969/8/1,9.49,7.79
1969/9/1,9.21,7.811
1969/10/1,8.95,7.743
1969/11/1,9.29,7.738
1969/12/1,9.04,7.65
1970/1/1,9.03,7.55
1970/2/1,8.79,7.6
1970/3/1,8.75,7.27
1970/4/1,8.94,6.94
1970/5/1,9.4,6.19
1970/6/1,9.58,6.87
1970/7/1,9.33,6.85
1970/8/1,9.19,6.82
1970/9/1,9.28,6.82
1970/10/1,9.15,6.81
1970/11/1,9.51,6.81
1970/12/1,9.62,6.82
1971/1/1,9.51,6.79
1971/2/1,9.35,6.75
1971/3/1,9.07,6.66
1971/4/1,9.07,5.92
1971/5/1,9.03,5.65
1971/6/1,9.08,5.59
1971/7/1,9.22,5.57
1971/8/1,8.96,5.75
1971/9/1,8.5,4.83
1971/10/1,8.51,4.63
1971/11/1,7.79,4.48
1971/12/1,8.1,4.36
1972/1/1,7.93,4.36
1972/2/1,7.9,4.37
1972/3/1,8.16,4.34
1972/4/1,8.26,4.3
1972/5/1,8.6,4.27
1972/6/1,9.32,5.21
1972/7/1,9.23,5.6
1972/8/1,9.36,5.79
1972/9/1,9.54,6.44
1972/10/1,9.46,6.74
1972/11/1,9.45,6.88
1972/12/1,9.62,7.76
1973/1/1,9.56,8.21
1973/2/1,9.65,8.08
1973/3/1,10.01,8.07
1973/4/1,9.93,7.67
1973/5/1,10.02,7.33
1973/6/1,10.15,7.06
1973/7/1,10.6,8.27
1973/8/1,11.3,10.91
1973/9/1,11.55,10.97
1973/10/1,11.28,10.77
1973/11/1,12,11.73
1973/12/1,12.5,12.46
1974/1/1,12.89,12.09
1974/2/1,13.5,11.92
1974/3/1,13.68,11.95
1974/4/1,14.21,11.52
1974/5/1,13.8,11.36
1974/6/1,14.38,11.23
1974/7/1,14.88,11.2
1974/8/1,15.29,11.24
1974/9/1,14.95,11.06
1974/10/1,15.68,10.93
1974/11/1,16.75,10.98
1974/12/1,17.18,10.99
1975/1/1,16.02,10.59
1975/2/1,14.58,9.88
1975/3/1,13.43,9.5
1975/4/1,13.89,9.26
1975/5/1,14.53,9.47
1975/6/1,14.41,9.43
1975/7/1,13.93,9.71
1975/8/1,13.87,10.43
1975/9/1,13.79,10.36
1975/10/1,14.66,11.42
1975/11/1,14.81,11.1
1975/12/1,14.79,10.82
1976/1/1,13.79,9.99
1976/2/1,13.46,8.76
1976/3/1,13.88,8.46
1976/4/1,13.77,9.06
1976/5/1,13.59,10.44
1976/6/1,14.09,10.96
1976/7/1,14.16,10.87
1976/8/1,14.33,10.88
1976/9/1,14.79,12.05
1976/10/1,16.03,14
1976/11/1,15.79,14.14
1976/12/1,15.48,13.78
1977/1/1,14.48,12.73
1977/2/1,13.93,11.02
1977/3/1,13.25,9.92
1977/4/1,13.05,8.24
1977/5/1,12.69,7.4
1977/6/1,13.26,7.45
1977/7/1,13.62,7.43
1977/8/1,13.12,6.54
1977/9/1,11.88,5.68
1977/10/1,10.98,4.53
1977/11/1,11.28,4.96
1977/12/1,11.16,6.37
1978/1/1,11.06,5.81
1978/2/1,11.75,5.96
1978/3/1,11.72,5.93
1978/4/1,12.39,6.73
1978/5/1,12.72,8.4
1978/6/1,12.79,9.17
1978/7/1,12.72,9.22
1978/8/1,12.55,8.9
1978/9/1,12.64,8.98
1978/10/1,12.91,9.86
1978/11/1,13.16,11.51
1978/12/1,13.22,11.57
