t,gdp
1270/1/1,0.48303773360314232
1271/1/1,0.4772997385310196
1272/1/1,0.49448202207191168
1273/1/1,0.46563981042654016
1274/1/1,0.46321268038798184
1275/1/1,0.52864060470060224
1276/1/1,0.46450471698113208
1277/1/1,0.4951730633388276
1278/1/1,0.51263665216880216
1279/1/1,0.4247652582159624
1280/1/1,0.42880466472303208
1281/1/1,0.45307068366164536
1282/1/1,0.43702509785862296
1283/1/1,0.41306337222603528
1284/1/1,0.42470735310830784
1285/1/1,0.42766798418972328
1286/1/1,0.41916302030741608
1287/1/1,0.45618729096989968
1288/1/1,0.4397430217102348
1289/1/1,0.4034778780541492
1290/1/1,0.40688901038819032
1291/1/1,0.40787746170678344
1292/1/1,0.429775588396278
1293/1/1,0.44008762322015352
1294/1/1,0.43699320622397552
1295/1/1,0.46826005920403488
1296/1/1,0.48716542343132952
1297/1/1,0.46635934584568112
1298/1/1,0.49088513068306608
1299/1/1,0.47291506427865056
1300/1/1,0.46982521710454
1301/1/1,0.473383194016718
1302/1/1,0.48596896665566184
1303/1/1,0.50627615062761512
1304/1/1,0.45830120083728112
1305/1/1,0.47117822109555816
1306/1/1,0.45776356418173792
1307/1/1,0.480083857442348
1308/1/1,0.48597924486641656
1309/1/1,0.49828786037777528
1310/1/1,0.49187755553099784
1311/1/1,0.50939849624060152
1312/1/1,0.49618320610687024
1313/1/1,0.50520256807615672
1314/1/1,0.50553709856035432
1315/1/1,0.45451523545706368
1316/1/1,0.43466546924113144
1317/1/1,0.46064604185623296
1318/1/1,0.51486517630790504
1319/1/1,0.52381508288582768
1320/1/1,0.5133057362507392
1321/1/1,0.439784301977232
1322/1/1,0.46873861842903952
1323/1/1,0.49261992619926192
1324/1/1,0.4547040498442368
1325/1/1,0.49854816311071848
1326/1/1,0.50457680250783712
1327/1/1,0.49557852783659232
1328/1/1,0.45992083127164768
1329/1/1,0.48341523341523328
1330/1/1,0.4705308114704088
1331/1/1,0.44818809841231352
1332/1/1,0.47135291285507928
1333/1/1,0.48511655708308424
1334/1/1,0.46877226312039896
1335/1/1,0.448873687934898
1336/1/1,0.46972004216938032
1337/1/1,0.52024197301070288
1338/1/1,0.52986712882726752
1339/1/1,0.4321781042001376
1340/1/1,0.48387096774193552
1341/1/1,0.48862221215894928
1342/1/1,0.51101866426804584
1343/1/1,0.49648241206030152
1344/1/1,0.52972493345164136
1345/1/1,0.49294998898435768
1346/1/1,0.46805251641137848
1347/1/1,0.48608998043903504
1348/1/1,0.49811117107393384
1349/1/1,0.46787653993906496
1350/1/1,0.5328455284552848
1351/1/1,0.6154460187587308
1352/1/1,0.63821706975814504
1353/1/1,0.64004004004003992
1354/1/1,0.61299378383797872
1355/1/1,0.6318537859007832
1356/1/1,0.62329042638777144
1357/1/1,0.63517324738114424
1358/1/1,0.63841807909604496
1359/1/1,0.6455133387227164
1360/1/1,0.64096336773932408
1361/1/1,0.61869045205757144
1362/1/1,0.60243654822335024
1363/1/1,0.58479056527043504
1364/1/1,0.64969450101832992
1365/1/1,0.62097103223174208
1366/1/1,0.6396322778345248
1367/1/1,0.60016369961121344
1368/1/1,0.5961065573770492
1369/1/1,0.5566502463054188
1370/1/1,0.62376644736842104
1371/1/1,0.60366481367099024
1372/1/1,0.54588574963910072
1373/1/1,0.59107806691449808
1374/1/1,0.54364915184112528
1375/1/1,0.52434224155790352
1376/1/1,0.60614235318530808
1377/1/1,0.62385702410640072
1378/1/1,0.6174313848732452
1379/1/1,0.56693412162162184
1380/1/1,0.59280544912728816
1381/1/1,0.60823857541300144
1382/1/1,0.62954152249134912
1383/1/1,0.6017872711421096
1384/1/1,0.68116897385190056
1385/1/1,0.62104097452934656
1386/1/1,0.69464285714285744
1387/1/1,0.70049504950495048
1388/1/1,0.64821955091857552
1389/1/1,0.67146776406035656
1390/1/1,0.63009910117538592
1391/1/1,0.70685249709639952
1392/1/1,0.7972371809880584
1393/1/1,0.66084493745574712
1394/1/1,0.72764034253092288
1395/1/1,0.6985611510791364
1396/1/1,0.70461687212956248
1397/1/1,0.69110840438489648
1398/1/1,0.7418958742632616
1399/1/1,0.7141089108910892
1400/1/1,0.6961077844311376
1401/1/1,0.68731268731268728
1402/1/1,0.70599999999999984
1403/1/1,0.71771771771771768
